ds,y
11/28/2018,347.8699951
11/29/2018,341.1700134
11/30/2018,350.480011
12/3/2018,358.4899902
12/4/2018,359.7000122
12/6/2018,363.0599976
12/7/2018,357.9700012
12/10/2018,365.1499939
12/11/2018,366.7600098
12/12/2018,366.6000061
12/13/2018,376.7900085
12/14/2018,365.7099915
12/17/2018,348.4200134
12/18/2018,337.0299988
12/19/2018,332.9700012
12/20/2018,315.3800049
12/21/2018,319.769989
12/24/2018,295.3900146
12/26/2018,326.0899963
12/27/2018,316.1300049
12/28/2018,333.8699951
12/31/2018,332.7999878
1/2/2019,310.1199951
1/3/2019,300.3599854
1/4/2019,317.6900024
1/7/2019,334.9599915
1/8/2019,335.3500061
1/9/2019,338.5299988
1/10/2019,344.9700012
1/11/2019,347.2600098
1/14/2019,334.3999939
1/15/2019,344.4299927
1/16/2019,346.0499878
1/17/2019,347.3099976
1/18/2019,302.2600098
1/22/2019,298.9200134
1/23/2019,287.5899963
1/24/2019,291.5100098
1/25/2019,297.0400085
1/28/2019,296.3800049
1/29/2019,297.4599915
1/30/2019,308.769989
1/31/2019,307.019989
2/1/2019,312.2099915
2/4/2019,312.8900146
2/5/2019,321.3500061
2/6/2019,317.2200012
2/7/2019,307.5100098
2/8/2019,305.7999878
2/11/2019,312.8399963
2/12/2019,311.8099976
2/13/2019,308.1700134
2/14/2019,303.769989
2/15/2019,307.8800049
2/19/2019,305.6400146
2/20/2019,302.5599976
2/21/2019,291.230011
2/22/2019,294.7099915
2/25/2019,298.769989
2/26/2019,297.8599854
2/27/2019,314.7399902
2/28/2019,319.8800049
3/1/2019,294.7900085
3/4/2019,285.3599854
3/5/2019,276.5400085
3/6/2019,276.2399902
3/7/2019,276.5899963
3/8/2019,284.1400146
3/11/2019,290.9200134
3/12/2019,283.3599854
3/13/2019,288.9599915
3/14/2019,289.9599915
3/15/2019,275.4299927
3/18/2019,269.4899902
3/19/2019,267.4700012
3/20/2019,273.6000061
3/21/2019,274.019989
3/22/2019,264.5299988
3/25/2019,260.4200134
3/26/2019,267.769989
3/27/2019,274.8299866
3/28/2019,278.6199951
